name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;528;0;833;3119;1781;3119;1734;0
header;211;172;211;209;1837;209;1837;172
A;995;59;995;62;997;62;997;59
A;677;234;677;243;686;243;686;234
A;1009;235;1009;262;1032;262;1032;235
C;875;240;875;259;891;259;891;240
A;583;297;583;309;590;309;590;297
A;1135;383;1135;389;1141;389;1141;383
A;1158;384;1158;399;1166;399;1166;384
A;1735;577;1735;585;1740;585;1740;577
B;1019;909;1019;935;1038;935;1038;909
B;743;976;743;992;752;992;752;976
A;1697;1114;1697;1120;1704;1120;1704;1114
B;1533;1125;1533;1136;1540;1136;1540;1125
B;1577;1161;1577;1177;1586;1177;1586;1161
B;1520;1472;1520;1498;1534;1498;1534;1472
A;732;1500;732;1501;733;1501;733;1500
C;1017;1591;1017;1620;1037;1620;1037;1591
A;1349;1655;1349;1680;1371;1680;1371;1655
A;823;1665;823;1680;831;1680;831;1665
A;1261;1754;1261;1762;1269;1762;1269;1754
A;1536;1902;1536;1912;1543;1912;1543;1902
A;1574;1993;1574;1993;1574;1993;1574;1993
B;1466;2117;1466;2133;1475;2133;1475;2117
A;999;2160;999;2169;1007;2169;1007;2160
D;1020;2268;1020;2295;1042;2295;1042;2268
A;1470;2577;1470;2583;1475;2583;1475;2577
A;902;2775;902;2784;907;2784;907;2775
A;998;2906;998;2909;1005;2909;1005;2906
