name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;254;0;498;3113;1089;3113;1089;0
header;258;128;258;163;1879;163;1879;128
A;1056;187;1056;214;1077;214;1077;187
A;775;235;775;243;783;243;783;235
B;1056;860;1056;888;1075;888;1075;860
B;364;1107;364;1123;373;1123;373;1107
B;521;1243;521;1262;534;1262;534;1243
C;1050;1523;1050;1553;1071;1553;1071;1523
D;1052;2183;1052;2210;1074;2210;1074;2183
A;704;2426;704;2429;707;2429;707;2426
B;486;2431;486;2457;518;2457;518;2431
A;929;2443;929;2458;937;2458;937;2443
B;892;2489;892;2503;900;2503;900;2489
B;725;2626;725;2639;736;2639;736;2626
A;515;2719;515;2720;516;2720;516;2719
A;477;2780;477;2784;480;2784;480;2780
B;499;2813;499;2827;522;2827;522;2813
A;534;2813;534;2838;554;2838;554;2813
B;606;2814;606;2839;622;2839;622;2814
